text,category
"Subject: Your account recovery email was changed Body: The recovery email address for your account has been updated. If you did not authorize this change, please contact our support team immediately.",security
"Subject: Your payment of $35.00 for your monthly hosting plan is due Body: This is a reminder that your payment is due on August 25, 2025. Please make a payment to ensure your services remain active.",billing
"Subject: Project 'Aquila' - Document for Review Body: The initial draft of the project proposal for 'Aquila' is ready for your review. Please provide your comments by the end of the week.",work
"Subject: A special offer just for you, Bhavin! Body: We've handpicked this special offer just for you. Enjoy 20% off your next purchase as a thank you for being a loyal customer.",promotion
"Subject: The Minimalist's Path - Decluttering Your Digital Life Body: Tips and strategies for organizing your digital files, managing your inbox, and creating a more focused and productive digital environment.",newsletter
"Subject: 2-Step Verification is now active on your account Body: You have successfully set up 2-Step Verification. An extra layer of security is now protecting your account from unauthorized access.",security
"Subject: Your order has been delivered! Body: Your package for order #D-45678 was delivered. We hope you enjoy your purchase!",billing
"Subject: Important: Update to the Employee Handbook Body: An important update has been made to the employee handbook regarding our remote work policy. Please review the changes in the shared document.",work
"Subject: The sale's not over yet! Body: Good news! We've extended our weekend sale for another 24 hours. Don't miss this final opportunity to save big.",promotion
"Subject: The History Buff's Digest - The Battle of Stalingrad Body: A detailed account of one of World War II's most pivotal battles, examining the strategies, hardships, and long-term consequences.",newsletter
"Subject: Security Tip: How to spot phishing emails Body: Learn the common signs of phishing attempts, such as suspicious links, urgent requests, and grammatical errors, to keep your account safe.",security
"Subject: Your account is scheduled for automatic payment Body: This is a notification that your account will be charged $45.00 on September 1st, 2025, for your monthly service plan.",billing
"Subject: Team Lunch this Friday Body: Let's celebrate our recent project success with a team lunch this Friday at 1 PM. Please RSVP so we can get a headcount.",work
"Subject: We've restocked your favorite item! Body: Good news! The 'Classic Leather Jacket' you were interested in is now back in stock. Order now before it's gone again.",promotion
"Subject: The Culinary Compass - Mastering the Art of French Sauces Body: A step-by-step guide to creating the five mother sauces of French cuisine, the foundation of countless classic dishes.",newsletter
"Subject: A new application was granted access to your data Body: The application 'Analytics Dashboard' was recently granted permission to access your account data. You can manage app permissions in your security settings.",security
"Subject: Your free trial of 'Design Studio Pro' has started Body: Welcome! Your 30-day free trial has begun. Explore all our features and see how our tools can streamline your workflow.",billing
"Subject: Urgent: Action required on overdue task Body: The task 'Finalize Q3 Budget' assigned to you is now overdue. Please complete it as soon as possible.",work
"Subject: Looks like you're interested in our new headphones... Body: We noticed you checked out the new SonicBlast Pro headphones. Check out the reviews and get a special introductory price.",promotion
"Subject: The Stargazer's Almanac - Perseid Meteor Shower Guide Body: Your complete guide to watching the upcoming Perseid meteor shower, including peak times, viewing tips, and the science behind the spectacle.",newsletter
"Subject: Your account was accessed from a new location: Ahmedabad, India Body: A new login to your account was detected. If this was you, no action is needed. If not, please secure your account immediately.",security
"Subject: Your monthly receipt from 'SaaSify' is here Body: Here is your receipt for your recent payment of $19.99. Thank you for your business.",billing
"Subject: Brainstorm for the new marketing slogan Body: We're looking for a catchy new slogan for our upcoming campaign. Please join the brainstorming session tomorrow at 11 AM.",work
"Subject: These deals are ending soon! Don't miss out. Body: Time is running out on our seasonal sale. Grab these amazing deals before they're gone forever.",promotion
"Subject: The Productivity Post - The Pomodoro Technique Body: Learn how to boost your focus and manage your time effectively using the Pomodoro Technique, a simple yet powerful productivity method.",newsletter
"Subject: Security Alert: Your password was recently entered on a suspicious site Body: We detected that your password was entered on a site that mimics ours. We have reset your password as a precaution. Please create a new one.",security
"Subject: Your subscription has been canceled Body: As you requested, your subscription to 'Premium News' has been canceled and will not renew. You will have access until the end of the current billing period.",billing
"Subject: Reminder: Company-wide Town Hall meeting today at 2 PM Body: This is a reminder for the all-hands town hall meeting this afternoon. The CEO will be sharing important updates.",work
"Subject: A special discount for your next trip Body: Planning your next getaway? Here's a 15% discount on your next booking with us. Travel more, spend less.",promotion
"Subject: The DIY Crafts Corner - How to Make Scented Candles Body: A fun and easy tutorial on creating your own beautiful scented candles at home, a perfect handmade gift or a treat for yourself.",newsletter
"Subject: Your account is temporarily suspended Body: We have detected unusual activity on your account and have suspended it as a security measure. Please contact support to resolve this issue.",security
"Subject: Your payment method will expire soon Body: The credit card on file for your account is set to expire next month. Please update your payment information to avoid any interruption in service.",billing
"Subject: Call for Agenda Items: Weekly Sync Body: If you have any topics you would like to discuss during our weekly sync meeting, please add them to the shared agenda document by end of day.",work
"Subject: Psst... A surprise offer is inside! Body: We have a secret offer just for our most valued customers. Open to reveal your exclusive discount.",promotion
"Subject: The Ancient Wisdom Newsletter - The Teachings of Lao Tzu Body: Exploring the profound and timeless wisdom of the Tao Te Ching and its practical applications for a more balanced life.",newsletter
"Subject: A new device has been added to your account: iPhone 15 Pro Body: A new device has been registered to your account. If you do not recognize this device, please remove it and change your password.",security
"Subject: Your invoice for recent freelance work is attached Body: Please find attached the invoice for the design work completed in July. Payment is due within 30 days.",billing
"Subject: Your timesheet is due for submission Body: This is a reminder to submit your timesheet for the past week. The deadline for submission is 5 PM today.",work
"Subject: We've lowered the price on an item in your cart! Body: Great news! The price of the 'Ergonomic Office Chair' in your cart has been reduced. Buy it now at the new, lower price.",promotion
"Subject: The Eco-Friendly Living Guide - Zero-Waste Kitchen Tips Body: Practical tips and product recommendations to help you reduce waste in your kitchen and live a more sustainable lifestyle.",newsletter
"Subject: Security check-up recommended for your account Body: It's a good time to review your security settings, check your recent activity, and ensure your recovery information is up to date.",security
"Subject: Your account has a new credit of $25.00 Body: A promotional credit has been added to your account. It will be automatically applied to your next month's bill.",billing
"Subject: Welcome aboard, Alex! Body: Let's all give a warm welcome to Alex Chen, who is joining our engineering team today. We're thrilled to have you, Alex!",work
"Subject: Your 10% off coupon expires tomorrow! Body: Don't forget to use your coupon code WELCOME10. It expires in 24 hours, so don't miss out on the savings.",promotion
"Subject: The Bookworm's Bulletin - Best Sci-Fi of the Year Body: A curated list of the must-read science fiction novels of the year so far, from epic space operas to thought-provoking dystopias.",newsletter
"Subject: Your account was used to sign in to a new app Body: Your account was just used to sign in to 'Project Management Pro'. If this was not you, you can revoke access in your security settings.",security
"Subject: Your monthly payment to 'Gym Membership' was declined Body: We were unable to process your payment of $40.00. Please check your payment details or contact your bank.",billing
"Subject: Mandatory HR Policy Update Review Body: All employees must review and acknowledge the recent updates to our company's Code of Conduct policy by the end of the month.",work
"Subject: A gift for you: Free Express Shipping Body: To show our appreciation, we're giving you free express shipping on your next order. Get your items even faster!",promotion
"Subject: The Global Traveler - 10 Best Beaches in the World Body: From the white sands of the Maldives to the dramatic coasts of Iceland, discover the world's most beautiful beaches in our latest feature.",newsletter
"Subject: Your password was reset successfully Body: This confirms that your password has been reset. If you did not initiate this action, please contact support immediately.",security
"Subject: Your trial period has ended. Please upgrade. Body: Your free trial has now expired. To continue using our service, please choose a subscription plan and upgrade your account.",billing
"Subject: Brainstorming session for the annual company retreat Body: We're starting to plan this year's company retreat and we want your ideas! Join the brainstorming session this Thursday.",work
"Subject: We noticed you looking at our summer collection... Body: The sun is out and so are our new styles. Check out the latest summer collection and get ready for the season.",promotion
"Subject: The Mindful Moment - A 5-Minute Meditation Guide Body: A simple, guided meditation practice you can do anywhere to reduce stress, improve focus, and bring a sense of calm to your day.",newsletter
"Subject: Security Alert: A large file was downloaded from your account Body: A file larger than 1GB was recently downloaded from your cloud storage. If you don't recognize this activity, please review your access logs.",security
"Subject: Your payment is overdue for Invoice #INV-2025-7890 Body: Our records show that your payment for $200.00 is now overdue. Please make a payment as soon as possible to avoid late fees.",billing
"Subject: Your expense report has been approved Body: Your recent expense report for the business trip to Chicago has been approved and the reimbursement is being processed.",work
"Subject: We've got something special for you! Body: As a loyal customer, we've unlocked a special 25% discount just for you. It's our way of saying thanks!",promotion
"Subject: The Film Buff's Review - The Latest Blockbuster Body: A critical review of this summer's biggest blockbuster movie, exploring its themes, performances, and cinematic achievements.",newsletter
"Subject: Your account recovery phone number was changed Body: The recovery phone number for your account was updated. If you did not make this change, your account may be compromised.",security
"Subject: Your subscription to 'MusicStream' will renew next week Body: This is a reminder that your monthly subscription will be renewed on August 25, 2025. No action is needed to continue your service.",billing
"Subject: Action required: Complete your employee profile Body: Your employee profile is incomplete. Please log in to the HR portal and fill in the missing information.",work
"Subject: This is your last chance to save 40%! Body: Our biggest sale of the season ends tonight at midnight. This is your final opportunity to take advantage of these incredible deals.",promotion
"Subject: The Home Chef - Easy Weeknight Dinner Recipes Body: Tired of the same old meals? Here are five delicious and easy recipes that you can whip up on a busy weeknight.",newsletter
"Subject: A new email client was used to access your account Body: Your account was accessed using the Thunderbird email client. If this was you, you can safely ignore this alert.",security
"Subject: Your refund is on its way Body: We have processed your refund of $32.50. You should see the amount reflected in your account within the next few days.",billing
"Subject: Please vote on the new office coffee machine Body: We're getting a new coffee machine for the break room! Please cast your vote for one of the three options in the poll.",work
"Subject: An item you love is back in stock! Body: The 'Handcrafted Wooden Desk' you had your eye on is back in stock. Quantities are limited, so act fast!",promotion
"Subject: The Fitness Pro - 10-Minute Full-Body Workout Body: No time for the gym? Try this effective 10-minute workout that you can do at home with no equipment required.",newsletter
"Subject: Security Alert: Your account was accessed from a public Wi-Fi network Body: We detected a login from a public network, which can be insecure. We recommend changing your password as a precaution.",security
"Subject: Your monthly statement from 'Cloud Host' is available Body: Your hosting statement for July 2025 is ready. Your account was charged $50.00.",billing
"Subject: Reminder: Q3 goals submission deadline is tomorrow Body: This is a final reminder to submit your individual and team goals for the third quarter. The deadline is tomorrow at 5 PM.",work
"Subject: We matched the price! Body: Good news! The price of an item in your wishlist, the 'Smart Home Hub', has dropped to match a competitor's price.",promotion
"Subject: The Pet Lover's Weekly - Understanding Dog Body Language Body: Learn how to interpret your dog's body language, from tail wags to ear positions, to better understand their feelings and intentions.",newsletter
"Subject: Your 2-Step Verification code was used Body: A code was just used to sign in to your account. If this was you, you can disregard this message.",security
"Subject: Your 'Pro Developer' plan has been renewed Body: Your annual subscription has been renewed for $199. Thank you for another year with us!",billing
"Subject: You've been assigned a new task: 'Test new feature' Body: A new task has been assigned to you in our project management tool. Please review the details and update the status.",work
"Subject: Don't let these deals slip away! Body: Our special offers are ending soon. Shop now and save on your favorite products before it's too late.",promotion
"Subject: The Language Learner's Hub - Tips for Mastering French Pronunciation Body: Common challenges and practical tips to help you improve your French pronunciation and sound more like a native speaker.",newsletter
"Subject: Security Alert: Your account information was viewed Body: The personal information section of your account was recently accessed. If this was not you, please change your password immediately.",security
"Subject: Your payment for the 'Annual Conference Ticket' was successful Body: Your registration is confirmed! We've received your payment of $499 for the conference. We look forward to seeing you there.",billing
"Subject: Invitation to join the company's social committee Body: We're looking for enthusiastic volunteers to join the social committee and help plan fun events for the team. Are you interested?",work
"Subject: We've updated our privacy policy Body: We've made some changes to our privacy policy to be more transparent about how we use your data. You can review the full policy on our website.",promotion
"Subject: The Financial Independence Journal - The Power of Compound Interest Body: An illustration of how compound interest works and why starting to save and invest early is crucial for long-term wealth building.",newsletter
"Subject: Your account was logged into from a new city: Bangalore, India Body: We detected a login from a new city. If this was you, great! If not, please secure your account right away.",security
"Subject: Your monthly service fee of $9.99 has been processed Body: This is a confirmation of your monthly payment for our premium service. Your next payment is due in one month.",billing
"Subject: Please complete the employee satisfaction survey Body: Your feedback is important to us. Please take a few minutes to complete the anonymous employee satisfaction survey.",work
"Subject: A special treat just for you... Body: Because we appreciate you, here's a code for a free coffee on your next order. Enjoy!",promotion
"Subject: The History Explained - The Silk Road Body: Discover the ancient network of trade routes that connected the East and West, facilitating the exchange of goods, ideas, and cultures for centuries.",newsletter
"Subject: Security Alert: A new payment method was added to your account Body: A new credit card ending in 5678 was added to your account. If you did not add this card, please remove it and contact support.",security
"Subject: Your account balance is low Body: Your prepaid account balance is running low. Please add funds to ensure there is no interruption to your services.",billing
"Subject: New company swag has arrived! Body: Come by the HR desk to pick up your new company-branded t-shirt and water bottle!",work
"Subject: Your weekly deals are here! Body: Check out this week's personalized deals, curated just for you based on your recent activity.",promotion
"Subject: The Science of Sleep - How to Get a Better Night's Rest Body: Understand the stages of sleep and learn practical tips to improve your sleep quality, from creating a better sleep environment to establishing a bedtime routine.",newsletter
"Subject: Your account was used to send a message Body: A message was recently sent from your account. If you do not recognize this activity, your account may be compromised.",security
"Subject: Your automatic renewal is scheduled for next month Body: This is a heads-up that your annual plan for 'Cloud Backup Pro' will renew for $99.99 on September 18, 2025.",billing
"Subject: Congratulations on your work anniversary! Body: Congratulations on celebrating another year with the company! We appreciate your hard work and dedication.",work
"Subject: We think you'll love these... Body: Based on your recent browsing, we've picked out a few items we think you'll love. Take a look!",promotion
"Subject: The World Traveler's Guide - Packing Light and Smart Body: Learn the art of packing efficiently for any trip, with tips on choosing versatile clothing, minimizing toiletries, and using packing cubes.",newsletter
"Subject: Security Alert: Your shipping address was changed Body: The primary shipping address on your account was recently updated. If you did not make this change, please contact us immediately.",security
"Subject: Your free trial is about to expire. Upgrade to keep your data. Body: Your trial ends in 24 hours. Upgrade to a paid plan to ensure your projects and data are not deleted.",billing
"Subject: Volunteer Opportunity: Local Charity Drive Body: The company is participating in a local charity drive next month. We're looking for volunteers to help out. Sign up if you're interested!",work
"Subject: The items you looked at are on sale! Body: Great news! Several items you recently viewed are now part of our mid-season sale. Don't miss out on these great prices.",promotion
"Subject: The Car Enthusiast's Corner - The Evolution of the Electric Car Body: From early concepts to today's high-performance vehicles, trace the fascinating history and technological evolution of the electric car.",newsletter
"Subject: Your account has been inactive for a long time Body: We've noticed you haven't signed in to your account in over a year. For security, we will be deactivating it in 30 days unless you sign in.",security
"Subject: Your invoice for consulting services is overdue Body: This is a second reminder that invoice #C-2025-005 for $1,500 is now past due. Please submit payment as soon as possible.",billing
"Subject: Important update regarding our return-to-office plan Body: Please review the latest update on our hybrid work model and the phased return-to-office plan, effective next month.",work
"Subject: A little something to brighten your day Body: We hope you're having a great week! Here's a small discount on us. Treat yourself to something nice.",promotion
"Subject: The Modern Parent - Navigating the Challenges of Screen Time Body: Strategies and expert advice for managing your children's screen time in a healthy and balanced way in the digital age.",newsletter
"Subject: Security Alert: Your account was accessed from an unrecognized browser Body: We detected a sign-in from the Vivaldi browser, which you don't typically use. If this was you, you can ignore this. If not, secure your account.",security
"Subject: Your monthly donation to 'Doctors Without Borders' was successful Body: Thank you for your ongoing support. Your donation of $30.00 has been processed.",billing
"Subject: Your vacation request has been approved Body: Your request for time off from September 8th to September 12th has been approved. Enjoy your trip!",work
"Subject: It's been a while... come see what's new! Body: We've added a lot of new products and features since your last visit. Come back and see what you've been missing!",promotion
"Subject: The Home Decorator - Using Color to Transform a Room Body: Learn how to use color theory to create a specific mood, make a room feel larger, and transform your living space.",newsletter
"Subject: A new device was used to access your account: Samsung Galaxy S23 Body: A new Android device was just used to sign in. If this was not you, please take immediate action to protect your account.",security
"Subject: Your account credit is about to expire Body: You have an account credit of $10.00 that will expire at the end of this month. Don't let it go to waste!",billing
"Subject: New joiner announcement: Maria Garcia Body: Please join us in welcoming Maria Garcia to the finance department. Her first day is today.",work
"Subject: The perfect gift is waiting for you Body: Still looking for the perfect gift? Check out our curated gift guide for inspiration for every occasion and budget.",promotion
"Subject: The Investor's Outlook - Navigating a Volatile Market Body: Strategies for investors to navigate market volatility, including diversification, long-term thinking, and risk management.",newsletter
"Subject: Your account was unlinked from a third-party service Body: Your account is no longer connected to the 'Social Scheduler' app. This action was initiated from your security settings.",security
"Subject: Your annual domain name renewal is due Body: Your domain 'example.com' is set to expire in 30 days. Please renew it to keep your website online.",billing
"Subject: Submit your nominations for the Employee of the Quarter award Body: It's time to recognize our outstanding colleagues! Please submit your nominations for the Employee of the Quarter award.",work
"Subject: We've got a new look! Body: We've just launched our newly redesigned website! Check it out and let us know what you think. Enjoy a more user-friendly experience.",promotion
"Subject: The Creative Writer's Workshop - Overcoming Writer's Block Body: Practical exercises and mental strategies to help you break through writer's block and get your creative juices flowing again.",newsletter
"Subject: Security Alert: Your account was accessed via API Body: An API key associated with your account was used to access data. If you don't recognize this application, you should revoke the key.",security
"Subject: Your payment for 'Cloud Storage - 1TB Plan' has been received Body: We've received your payment of $99.99 for your annual cloud storage plan. Your storage is secure for another year.",billing
